일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2023/09/20","144900","-700","-0.48","145600","146000","144800","58381","8477794600","21213761373000","146402770"
"2023/09/19","145600","-800","-0.55","146100","147300","145100","182107","26571380000","21316243312000","146402770"
"2023/09/18","146400","-100","-0.07","145900","148000","145800","186548","27360530500","21433365528000","146402770"
"2023/09/15","146500","-1100","-0.75","147700","147700","146400","347460","51011337100","21448005805000","146402770"
"2023/09/14","147600","1400","0.96","146700","147600","145700","422052","62065881200","21609048852000","146402770"
"2023/09/13","146200","0","0.00","145700","147500","144600","272880","39825320600","21404084974000","146402770"
"2023/09/12","146200","-3100","-2.08","149200","149200","145500","353004","51765509000","21404084974000","146402770"
"2023/09/11","149300","1800","1.22","147500","149700","147000","333692","49534687700","21857933561000","146402770"
"2023/09/08","147500","1100","0.75","146400","147900","146300","295123","43447257100","21594408575000","146402770"
"2023/09/07","146400","-500","-0.34","145800","147500","145300","297979","43580336100","21433365528000","146402770"
"2023/09/06","146900","300","0.20","146000","147100","145200","370894","54174960900","21506566913000","146402770"
"2023/09/05","146600","1100","0.76","144600","147000","144600","289260","42146941300","21462646082000","146402770"
"2023/09/04","145500","1600","1.11","143900","145500","143700","271134","39247371900","21301603035000","146402770"
"2023/09/01","143900","0","0.00","143900","146100","143900","276549","40031095500","21067358603000","146402770"
"2023/08/31","143900","-3600","-2.44","147400","148000","143900","506440","73416548100","21067358603000","146402770"
"2023/08/30","147500","0","0.00","148500","148500","146100","282865","41698405700","21594408575000","146402770"
"2023/08/29","147500","3100","2.15","145300","147700","145300","393275","57756566300","21594408575000","146402770"
"2023/08/28","144400","900","0.63","144900","145000","142700","252682","36378098100","21140559988000","146402770"
"2023/08/25","143500","-1100","-0.76","145000","146000","143400","240799","34794795600","21008797495000","146402770"
"2023/08/24","144600","3100","2.19","142100","145700","140900","499358","71809457600","21169840542000","146402770"
"2023/08/23","141500","-1900","-1.32","143400","143900","141500","409600","58351398400","20715991955000","146402770"
"2023/08/22","143400","-1700","-1.17","145200","146400","143000","536871","77425402400","20994157218000","146402770"
"2023/08/21","145100","-5300","-3.52","150000","151000","145100","679159","100223918000","21243041927000","146402770"
"2023/08/18","150400","6800","4.74","153400","156900","148800","2918953","441377242461","22018976608000","146402770"
"2023/08/17","143600","-2100","-1.44","144800","146000","143300","543730","78575579400","21023437772000","146402770"
"2023/08/16","145700","-8300","-5.39","150000","150400","144400","851055","124846811300","21330883589000","146402770"
"2023/08/14","154000","-2500","-1.60","157600","157600","150600","508589","77984202400","22546026580000","146402770"
"2023/08/11","156500","400","0.26","156100","157300","154500","370992","58010208200","22912033505000","146402770"
"2023/08/10","156100","1200","0.77","154900","156800","152400","591550","91826013500","22853472397000","146402770"
"2023/08/09","154900","6900","4.66","147500","155000","147500","687924","105039929100","22677789073000","146402770"
"2023/08/08","148000","-1000","-0.67","149800","150400","147500","270912","40328572500","21665847576000","146390862"
"2023/08/07","149000","-1700","-1.13","150200","152300","149000","375680","56466153000","21812238438000","146390862"
"2023/08/04","150700","-500","-0.33","151600","151900","149500","261080","39277220200","22061102903400","146390862"
